type,name,maori_name,lat,lng,coord_quality,audience_tags,visit_duration,access_notes,tripideas_article,snippet,source_url_1,source_url_2
Beach,Waiotahi Beach,,-37.9930,177.2410,verified,families;walkers;swimmers,half day,SH2 roadside; Ōpōtiki SLSC and public toilets at east end; parking on beach reserve,No,"Ōpōtiki's most popular beach — patrolled in summer, with pohutukawa-lined dunes, parking and picnic areas on the Bay of Plenty coast.",https://www.exploretheeastcape.co.nz/waiotahe-beach.html,https://www.opotikislsc.nz/
Beach,Tirohanga Beach,,-37.9530,177.3120,verified,families;walkers,short stop,Holiday park at access point 6 km east of Ōpōtiki on SH35; gentle sloping white sand,No,"Safe, sheltered white-sand bay 6 km east of Ōpōtiki; part of the Motu Trails dune network; ideal for families.",https://www.tirohangabeachmotorcamp.co.nz/,
Beach,Waioeka Beach / Ōpōtiki Spit,,-38.0080,177.2960,estimated,walkers;fishers,short stop,Sandy spit at Ōpōtiki near Waioeka River mouth; town access,No,Low sandy spit at the mouth of the Waioeka River in central Ōpōtiki — casual access and good for surf fishing.,https://www.odc.govt.nz/our-district/visiting/our-beaches,
DOC Track,Te Waiti Nature Trail,,-38.0600,177.3300,estimated,walkers;wildlife,half day,Turn off SH2 south of Ōpōtiki onto Otara Rd then Te Waiti Rd; well signposted,No,"Short nature trail through nikau palms and tawa forest in the Urutawa Conservation Area — good birdlife, 14 km south of Ōpōtiki.",https://www.doc.govt.nz/parks-and-recreation/places-to-go/east-coast/places/urutawa-conservation-area/,
DOC Campsite,Boulders Campsite,,-38.0600,177.3300,estimated,campers,overnight,4WD only due to storm damage on access track; steep rough descent to site; no dogs,No,"Picturesque streamside camp next to Te Waiti Stream, surrounded by nikau and tawa — 4WD access only due to sustained storm damage.",https://www.doc.govt.nz/parks-and-recreation/places-to-go/east-coast/places/urutawa-conservation-area/things-to-do/boulders-campsite/,
Historic Site,Hukutaia Domain / Sacred Pūriri Tree,,-38.0080,177.2860,estimated,history;families,short stop,Woodlands Rd off SH2 near Ōpōtiki; 7 km from town; domain reserve with car park,No,"One of NZ's oldest living trees — a 2500-year-old pūriri held sacred by local Māori, set within a sheltered domain reserve near Ōpōtiki.",https://www.doc.govt.nz/parks-and-recreation/places-to-go/east-coast/places/opotiki-area/,
Beach,Waihau Bay Beach,,-37.6310,177.8380,estimated,walkers;fishers;swimmers,short stop,"SH35 roadside access; store, boat ramp and holiday park at bay; 107 km from Ōpōtiki",No,Rock-strewn bay with sandy sections on the northern East Cape — a surf fishing and boat-launch hub with a store and accommodation.,https://www.exploretheeastcape.co.nz/waihau-bay---hicks-bay---sh35.html,
Beach,Oruaiti Beach,,-37.5710,177.9290,estimated,swimmers;walkers,short stop,Short walk over private land from SH35 near Cape Runaway; no formal car park,No,"Widely regarded as the best swimming beach on the western side of East Cape — safe, sandy and uncrowded, just before Cape Runaway.",https://www.exploretheeastcape.co.nz/oruaiti-beach.html,
Geographic Feature,Whangaparāoa / Cape Runaway,,-37.5320,177.9830,verified,history;photography;walkers,short stop,Road access to headland from SH35; reinstated pā and meeting house open to visitors,No,Easternmost point of the Bay of Plenty — traditionally where the Tainui and Arawa waka landed; dramatic coastal headland with significant Māori heritage.,https://en.wikipedia.org/wiki/Cape_Runaway,
Beach,Lottin Point / Maraehako Bay,,-37.5500,178.1570,estimated,fishers;walkers;swimmers,half day,Rough unsealed access road off SH35; motel at road end; no formal car park,No,Remote headland bay midway along the northern East Cape coast — known for exceptionally clear water and excellent surf casting.,https://www.exploretheeastcape.co.nz/waihau-bay---hicks-bay---sh35.html,
Beach,Wharekahika / Hicks Bay Beach,,-37.5990,178.3010,verified,walkers;swimmers;history,short stop,SH35 access to sheltered bay; motel and basic services at settlement,No,Sheltered bay on the dramatic eastern turn of the Cape — named for Cook's second-in-command; sudden shift in coastal character from the rugged western side.,https://en.wikipedia.org/wiki/Hicks_Bay,
Historic Site,Wharekahika / Hicks Bay Wharf,,-37.5990,178.3010,verified,history;photography,short stop,Adjacent to beach; accessible on foot from SH35,No,Remnant of the coastal trading wharves that were the only link to the outside world before the East Cape road was completed in the 1930s.,https://www.exploretheeastcape.co.nz/hicks-bay---sh35.html,
Geographic Feature,East Cape / Te Ara Poutama,,-37.6892,178.5483,verified,photography;walkers;history,half day,21 km mostly unsealed road from Te Araroa; car park at lighthouse base,No,Easternmost point of mainland New Zealand — the first place on earth to see each new day; 800-step climb to the lighthouse with sweeping Pacific views.,https://en.wikipedia.org/wiki/East_Cape,https://www.maritimenz.govt.nz/
Historic Site / Lighthouse,East Cape Lighthouse,,-37.6892,178.5483,verified,photography;history,half day,Car park at road end; ~800 steps up to lighthouse; allow 30 min each way,No,Working lighthouse at New Zealand's easternmost point — steep climb rewarded by panoramic views over the Pacific and back along the rugged East Cape coast.,https://www.maritimenz.govt.nz/,
Natural Feature,Te-Waha-o-Rerekohu (Giant Pōhutukawa),,-37.6270,178.3640,estimated,families;photography;wildlife,short stop,Roadside in Te Araroa township; informal parking nearby,No,"New Zealand's largest pōhutukawa — over 350 years old, 20 m tall and 40 m wide, and spectacular in summer bloom; in Te Araroa township.",https://www.doc.govt.nz/nature/native-plants/pohutukawa-and-rata/pohutukawa/,
Beach,Onepoto Bay,,-37.5990,178.2780,estimated,walkers;swimmers,short stop,Accessible from Hicks Bay area; sheltered shallow arc,No,"Shallow, sheltered bay a short distance from Hicks Bay — a quieter alternative for a swim or short beach walk.",https://www.exploretheeastcape.co.nz/hicks-bay---sh35.html,
Historic Site,Tikitiki Anglican Church (St Mary's),,-37.8130,178.3290,estimated,history;photography,short stop,On SH35 in Tikitiki township; roadside parking,No,Extraordinary 1924 Māori Anglican church built as a memorial to Ngāti Porou soldiers of WWI — one of the most ornately carved interiors of any church in New Zealand.,https://en.wikipedia.org/wiki/Tikitiki,
Beach,Waipiro Bay Beach,,-38.0190,178.3340,verified,walkers;fishers;photography,short stop,6 km off SH35 near Ruatoria on a rough unsealed road; basic facilities at settlement,No,"Isolated bay with a long sandy beach — once a busy settlement with hotels and a maternity hospital; now quiet and rarely visited, with one of the region's finest sunrises.",https://en.wikipedia.org/wiki/Waipiro_Bay,
DOC Track,Anaura Bay Walkway,,-38.2330,178.3083,verified,walkers;history;families,half day,"Turn off SH35 onto Anaura Rd, 67 km north of Gisborne; 8.7 km to campsite and trailhead",Yes — Anaura Bay article covers this track,3.5 km loop from the campsite through coastal bush with views over the bay — passes the 1769 Cook landing plaque; one of the most scenic easy walks on the Cape.,https://www.doc.govt.nz/parks-and-recreation/places-to-go/east-coast/places/anaura-bay-area/,
DOC Campsite,Anaura Bay DOC Campsite,,-38.2330,178.3083,verified,campers;families,overnight,Booking required; no flush toilets — chemical toilet required; rubbish collected over Christmas/New Year only,Yes — Anaura Bay article covers this,Beachside DOC campsite beside one of the most beautiful bays on the East Cape — flanked by coastal bush and stream; popular over summer.,https://www.doc.govt.nz/parks-and-recreation/places-to-go/east-coast/places/anaura-bay-area/things-to-do/anaura-bay-campsite/,
DOC Track,Cooks Cove Walkway,,-38.3853,178.3182,verified,walkers;history,half day,Small car park off the road to Tolaga Bay Wharf; 5 km return; 1.5–2 hrs,Yes — Tolaga Bay article covers the wharf,"5 km coastal walk from Tolaga Bay to the sheltered cove where Cook anchored the Endeavour in 1769 — sea arch, waterfall, and interpretive panels along the route.",https://www.doc.govt.nz/parks-and-recreation/places-to-go/east-coast/places/tolaga-bay-area/things-to-do/cooks-cove-walkway/,
DOC Reserve,Te Tapuwae o Rongokako Marine Reserve,,-38.5500,178.2200,estimated,wildlife;walkers;families,half day,Multiple road access points between Tolaga Bay and Gisborne off SH35,No,Protected marine reserve between Tolaga Bay and Gisborne — good snorkelling over rocky reef; diverse intertidal life accessible from several roadside access points.,https://www.doc.govt.nz/parks-and-recreation/places-to-go/east-coast/places/te-tapuwae-o-rongokako-marine-reserve/,
Beach,Tatapouri Beach,,-38.5580,178.2080,verified,families;wildlife;swimmers,half day,"532 Whangara Rd SH35, 15 min north of Gisborne; Dive Tatapouri and holiday park at access point",No,Reef beach 15 minutes north of Gisborne — home to wild short-tail stingray and eagle ray encounters at low tide through Dive Tatapouri; within Te Tapuwae o Rongokako Marine Reserve.,https://www.divetatapouri.com/,https://exploregisborne.co.nz/tatapouri-beach-swim-among-stunning-marine-life/
Beach,Wainui Beach,,-38.6889,178.0722,verified,surfers;families;swimmers,half day,SH35 through Wainui settlement; multiple road-end access points along beach,No,"Gisborne's premier surf beach — 8 km east of the city, east-facing with consistent swell; popular with surfers and families; settlement with accommodation.",https://en.wikipedia.org/wiki/Wainui_Beach,
Beach,Okitu / Makorori Beach,,-38.6390,178.0560,estimated,surfers;walkers;families,half day,SH35 access; car park at beach with access to Makorori Point lookout track,No,"Surf beach with sheltered swimming spots and rock pools, just north of Wainui — the Makorori Headland walk departs from here with views south to Young Nick's Head.",https://exploregisborne.co.nz/,
DOC Reserve,Okitu Bush Scenic Reserve,,-38.6380,178.0550,estimated,walkers;wildlife,short stop,Opposite Makorori Point on SH35; 20-min loop track; roadside parking,No,Small remnant of coastal broadleaf forest in an otherwise cleared landscape — 20-minute loop with birdlife and a lookout above the surf coast.,https://www.doc.govt.nz/,
Geographic Feature / Lookout,Makorori Point Lookout,,-38.6360,178.0540,estimated,photography;walkers,short stop,Short walk from Okitu Beach car park; exposed clifftop,No,Clifftop lookout above the surf coast between Makorori and Wainui beaches — clear day views south to Young Nick's Head and the Mahia Peninsula.,https://exploregisborne.co.nz/,
DOC Campsite,Whitikau Conservation Campsite,,-38.1172,177.5899,verified,campers,overnight,Follow SH2 north from Gisborne to Matawai; Motu Rd to Toatoa; then Takaputahi Rd; gravel access; small campervans only,No,Remote Raukūmara Conservation Park campsite — 122 km north of Gisborne via inland Motu Road; gravel access; very basic; suited to self-sufficient campers.,https://www.doc.govt.nz/parks-and-recreation/places-to-go/east-coast/places/raukumara-conservation-park/things-to-do/whitikau-campsite/,
Historic Site / Lookout,Titirangi Reserve / Kaiti Hill,Titirangi,-38.6620,178.0210,estimated,history;walkers;photography,half day,Drive via Titirangi Drive or walk from Puhi Kai Iti; multiple track access points; car park near summit,No,35 ha ancestral reserve rising above Gisborne to 140 m — 14 recorded archaeological sites; panoramic views over Poverty Bay; deep Cook and Ngāti Oneone significance.,https://tairawhititrails.nz/tracks-and-trails/titirangi-bush-walks,https://exploregisborne.co.nz/titirangi-reserve-kaiti-hill-panoramic-views-and-historical-significance/
Beach / Historic Site,Kaiti Beach,Kaitī,-38.6680,178.0250,estimated,history;walkers,short stop,Kaiti Beach Rd from central Gisborne; walking distance from Cook Landing Reserve,No,"Historic beach on the eastern shore of the Tūranganui River mouth — landing site of the Horouta waka and, in 1769, the first European landfall in New Zealand.",https://en.wikipedia.org/wiki/Kaiti,
Historic Site,Puhi Kai Iti / Cook Landing Site National Reserve,Puhi Kai Iti,-38.6700,178.0240,estimated,history;families,short stop,Off Kaiti Beach Rd; small car park; lit sculptures visible at night,No,National historic reserve marking Cook's first landing on 8 October 1769 — dual Māori and European story told through contemporary sculpture; one of NZ's most significant historic sites.,https://www.doc.govt.nz/parks-and-recreation/places-to-go/east-coast/places/gisborne-area/puhi-kai-iti-cook-landing-national-reserve/,
Historic Site,Te Maro Sculpture,,-38.6650,178.0220,estimated,history;photography,short stop,Ruatanuika lookout on Titirangi; walk from Puhi Kai Iti or drive to upper car park,No,"Striking 10 m perforated steel sculpture erected in 2019 at the lookout above Titirangi — commemorates Ngāti Oneone rangatira Te Maro, first Māori killed during Cook's 1769 landing.",https://tairawhitigisborne.co.nz/listings/operator/1305/te-maro-sculpture,
Historic Site,Te Poho-o-Rāwiri Marae,,-38.6660,178.0230,estimated,history;culture,short stop,Queens Drive Kaiti; visible from road; visits by arrangement,No,Major Ngāti Oneone meeting house at the base of Titirangi — reputedly the largest carved meeting house in NZ when it opened in 1930; central to Gisborne's living Māori culture.,https://natlib.govt.nz/records/37349781,
Historic Site,Captain Cook Monument & Young Nick Statue,,-38.6720,178.0200,estimated,history;families,short stop,Tūranganui River Mouth Reserve; walkable from central Gisborne,No,"Two monuments at the Tūranganui River mouth — Cook statue by Anthony Stones and Young Nick statue by Frank Szirmay, marking the site of NZ's first European landfall.",https://tairawhititrails.nz/tracks-and-trails/turanga-gisborne-city-cultural-trail,
Park / Garden,Gisborne Botanical Gardens,,-38.6580,177.9980,estimated,families;walkers,short stop,Aberdeen Rd and Taruheru River; car park on Aberdeen Rd,No,"Historic public gardens established in 1874 on the banks of the Taruheru River — 5.1 ha of mature trees including a century-old Moreton Bay fig, rose and cactus collections, aviary and playground.",https://www.tairawhitigisborne.co.nz/explore/botanical-gardens,
Geographic Feature,Tūranganui River,Tūranganui-a-Kiwa,-38.6741,178.0227,verified,walkers;history,short stop,Walkable riverfront through central Gisborne; multiple access points,No,Reputedly the shortest river in the Southern Hemisphere at 1.2 km — the Tūranganui carries deep cultural significance as the site of Cook's first encounters with Māori in 1769.,https://en.wikipedia.org/wiki/T%C5%ABranganui_River_(Gisborne),